"DEPLOYMENT NAME","QUAY TAG","PACKAGE NAME","VERSION INSTALLED","DEPENDENCY TYPE"
"quay.io/cloudservices/xjoin-operator","ea91546","base-files","11.1+deb11u5","deb"
"quay.io/cloudservices/xjoin-operator","ea91546","cloud.google.com/go","v0.54.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/beorn7/perks","v1.0.1","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/cespare/xxhash/v2","v2.1.1","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/davecgh/go-spew","v1.1.1","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/elastic/go-elasticsearch/v7","v7.1.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/evanphx/json-patch","v4.9.0+incompatible","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/fsnotify/fsnotify","v1.4.9","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/go-errors/errors","v1.4.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/go-logr/logr","v0.3.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/go-logr/zapr","v0.2.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/go-test/deep","v1.0.7","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/gogo/protobuf","v1.3.1","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/golang/groupcache","v0.0.0-20200121045136-8c9f03a8e57e","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/golang/protobuf","v1.4.3","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/golang/snappy","v0.0.1","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/google/go-cmp","v0.5.8","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/google/gofuzz","v1.1.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/google/uuid","v1.3.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/googleapis/gnostic","v0.5.1","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/hashicorp/golang-lru","v0.5.4","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/imdario/mergo","v0.3.10","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/jarcoal/httpmock","v1.2.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/jmoiron/sqlx","v1.3.1","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/json-iterator/go","v1.1.10","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/lib/pq","v1.9.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/linkedin/goavro/v2","v2.9.7","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/matttproud/golang_protobuf_extensions","v1.0.2-0.20181231171920-c182affec369","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/modern-go/concurrent","v0.0.0-20180306012644-bacd9c7ef1dd","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/modern-go/reflect2","v1.0.1","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/nxadm/tail","v1.4.4","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/onsi/ginkgo","v1.14.1","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/onsi/gomega","v1.10.2","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/pkg/errors","v0.9.1","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/prometheus/client_golang","v1.7.1","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/prometheus/client_model","v0.2.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/prometheus/common","v0.10.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/prometheus/procfs","v0.2.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/redhatinsights/xjoin-go-lib","v0.0.4","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/redhatinsights/xjoin-operator","(devel)","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/riferrei/srclient","v0.4.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","github.com/spf13/pflag","v1.0.5","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","go.uber.org/atomic","v1.6.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","go.uber.org/multierr","v1.5.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","go.uber.org/zap","v1.15.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","golang.org/x/crypto","v0.0.0-20201002170205-7f63de1d35b0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","golang.org/x/net","v0.0.0-20201110031124-69a78807bb2b","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","golang.org/x/oauth2","v0.0.0-20200107190931-bf48bf16ab8d","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","golang.org/x/sync","v0.0.0-20201020160332-67f06af15bc9","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","golang.org/x/sys","v0.0.0-20201112073958-5cba982894dd","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","golang.org/x/text","v0.3.4","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","golang.org/x/time","v0.0.0-20200630173020-3af7569d3a1e","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","golang.org/x/xerrors","v0.0.0-20200804184101-5ec99f83aff1","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","gomodules.xyz/jsonpatch/v2","v2.1.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","google.golang.org/protobuf","v1.25.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","gopkg.in/inf.v0","v0.9.1","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","gopkg.in/tomb.v1","v1.0.0-20141024135613-dd632973f1e7","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","gopkg.in/yaml.v2","v2.3.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","gopkg.in/yaml.v3","v3.0.0-20200615113413-eeeca48fe776","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","k8s.io/api","v0.20.2","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","k8s.io/apiextensions-apiserver","v0.20.1","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","k8s.io/apimachinery","v0.20.2","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","k8s.io/client-go","v0.20.2","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","k8s.io/component-base","v0.20.2","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","k8s.io/klog/v2","v2.4.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","k8s.io/kube-openapi","v0.0.0-20201113171705-d219536bb9fd","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","k8s.io/utils","v0.0.0-20210111153108-fddb29f9d009","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","netbase","6.3","deb"
"quay.io/cloudservices/xjoin-operator","ea91546","sigs.k8s.io/controller-runtime","v0.8.3","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","sigs.k8s.io/structured-merge-diff/v4","v4.0.2","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","sigs.k8s.io/yaml","v1.2.0","go-module"
"quay.io/cloudservices/xjoin-operator","ea91546","tzdata","2021a-1+deb11u8","deb"
"quay.io/cloudservices/insights-inventory","00e4da8","Deprecated","1.2.13","python"
"quay.io/cloudservices/insights-inventory","00e4da8","Flask","1.1.4","python"
"quay.io/cloudservices/insights-inventory","00e4da8","Flask-API","1.1","python"
"quay.io/cloudservices/insights-inventory","00e4da8","Flask-Limiter","1.0.1","python"
"quay.io/cloudservices/insights-inventory","00e4da8","Flask-Migrate","2.5.3","python"
"quay.io/cloudservices/insights-inventory","00e4da8","Flask-RESTful","0.3.9","python"
"quay.io/cloudservices/insights-inventory","00e4da8","Flask-SQLAlchemy","2.4.4","python"
"quay.io/cloudservices/insights-inventory","00e4da8","Flask-Script","2.0.6","python"
"quay.io/cloudservices/insights-inventory","00e4da8","JSONStream","1.3.5","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","Jinja2","2.11.3","python"
"quay.io/cloudservices/insights-inventory","00e4da8","Mako","1.2.3","python"
"quay.io/cloudservices/insights-inventory","00e4da8","MarkupSafe","2.0.1","python"
"quay.io/cloudservices/insights-inventory","00e4da8","PyGObject","3.28.3","python"
"quay.io/cloudservices/insights-inventory","00e4da8","PySocks","1.6.8","python"
"quay.io/cloudservices/insights-inventory","00e4da8","PyYAML","5.4.1","python"
"quay.io/cloudservices/insights-inventory","00e4da8","SQLAlchemy","1.3.24","python"
"quay.io/cloudservices/insights-inventory","00e4da8","SQLAlchemy-Utils","0.36.7","python"
"quay.io/cloudservices/insights-inventory","00e4da8","Werkzeug","1.0.1","python"
"quay.io/cloudservices/insights-inventory","00e4da8","abbrev","1.1.1","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","acl","2.2.53-1.el8","rpm"
"quay.io/cloudservices/insights-inventory","00e4da8","agent-base","4.2.1","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","agent-base","4.3.0","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","agentkeepalive","3.5.2","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","ajv","6.12.6","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","alembic","1.8.1","python"
"quay.io/cloudservices/insights-inventory","00e4da8","aniso8601","9.0.1","python"
"quay.io/cloudservices/insights-inventory","00e4da8","annobin","10.67-3.el8","rpm"
"quay.io/cloudservices/insights-inventory","00e4da8","ansi-align","2.0.0","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","ansi-regex","2.1.1","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","ansi-regex","3.0.0","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","ansi-regex","4.1.0","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","ansi-regex","4.1.1","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","ansi-regex","4.1.1","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","ansi-styles","3.2.1","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","ansicolors","0.3.2","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","ansistyles","0.1.3","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","apipkg","2.0.0","python"
"quay.io/cloudservices/insights-inventory","00e4da8","app-common-python","0.2.3","python"
"quay.io/cloudservices/insights-inventory","00e4da8","apr","1.6.3-12.el8","rpm"
"quay.io/cloudservices/insights-inventory","00e4da8","apr-devel","1.6.3-12.el8","rpm"
"quay.io/cloudservices/insights-inventory","00e4da8","apr-util","1.6.1-6.el8","rpm"
"quay.io/cloudservices/insights-inventory","00e4da8","apr-util-bdb","1.6.1-6.el8","rpm"
"quay.io/cloudservices/insights-inventory","00e4da8","apr-util-devel","1.6.1-6.el8","rpm"
"quay.io/cloudservices/insights-inventory","00e4da8","apr-util-ldap","1.6.1-6.el8","rpm"
"quay.io/cloudservices/insights-inventory","00e4da8","apr-util-openssl","1.6.1-6.el8","rpm"
"quay.io/cloudservices/insights-inventory","00e4da8","aproba","1.2.0","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","aproba","1.2.0","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","aproba","1.2.0","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","aproba","1.2.0","npm"
"quay.io/cloudservices/insights-inventory","00e4da8","aproba","1.2.0","npm"
